#     point_x       point_y       point_z
            0   -0.00436073        0.0005
            0   -0.00436073       -0.0005
            0   -0.00358579        0.0005
            0   -0.00358579       -0.0005
            0   -0.00289118        0.0005
            0   -0.00289118       -0.0005
            0    -0.0022686        0.0005
            0    -0.0022686       -0.0005
            0   -0.00171055        0.0005
            0   -0.00171055       -0.0005
            0   -0.00121037        0.0005
            0   -0.00121037       -0.0005
            0  -0.000762037        0.0005
            0  -0.000762037       -0.0005
            0  -0.000360188        0.0005
            0  -0.000360188       -0.0005
  0.000528387       -0.0254       -0.0005
  0.000528387       -0.0254        0.0005
   0.00106088       -0.0254       -0.0005
   0.00106088       -0.0254        0.0005
   0.00159752       -0.0254       -0.0005
   0.00159752       -0.0254        0.0005
   0.00213833       -0.0254       -0.0005
   0.00213833       -0.0254        0.0005
   0.00268334       -0.0254       -0.0005
   0.00268334       -0.0254        0.0005
   0.00323259       -0.0254       -0.0005
   0.00323259       -0.0254        0.0005
   0.00378611       -0.0254       -0.0005
   0.00378611       -0.0254        0.0005
   0.00434393       -0.0254       -0.0005
   0.00434393       -0.0254        0.0005
   0.00490609       -0.0254       -0.0005
   0.00490609       -0.0254        0.0005
   0.00547262       -0.0254       -0.0005
   0.00547262       -0.0254        0.0005
   0.00604356       -0.0254       -0.0005
   0.00604356       -0.0254        0.0005
   0.00661893       -0.0254       -0.0005
   0.00661893       -0.0254        0.0005
   0.00719878       -0.0254       -0.0005
   0.00719878       -0.0254        0.0005
   0.00778313       -0.0254       -0.0005
   0.00778313       -0.0254        0.0005
   0.00837203       -0.0254       -0.0005
   0.00837203       -0.0254        0.0005
   0.00896551       -0.0254       -0.0005
   0.00896551       -0.0254        0.0005
    0.0095636       -0.0254       -0.0005
    0.0095636       -0.0254        0.0005
    0.0101663       -0.0254       -0.0005
    0.0101663       -0.0254        0.0005
    0.0107738       -0.0254       -0.0005
    0.0107738       -0.0254        0.0005
    0.0113859       -0.0254       -0.0005
    0.0113859       -0.0254        0.0005
    0.0120028       -0.0254       -0.0005
    0.0120028       -0.0254        0.0005
    0.0126245       -0.0254       -0.0005
    0.0126245       -0.0254        0.0005
    0.0132511       -0.0254       -0.0005
    0.0132511       -0.0254        0.0005
    0.0138825       -0.0254       -0.0005
    0.0138825       -0.0254        0.0005
    0.0145188       -0.0254       -0.0005
    0.0145188       -0.0254        0.0005
    0.0151601       -0.0254       -0.0005
    0.0151601       -0.0254        0.0005
    0.0158063       -0.0254       -0.0005
    0.0158063       -0.0254        0.0005
    0.0164576       -0.0254       -0.0005
    0.0164576       -0.0254        0.0005
    0.0171139       -0.0254       -0.0005
    0.0171139       -0.0254        0.0005
    0.0177754       -0.0254       -0.0005
    0.0177754       -0.0254        0.0005
     0.018442       -0.0254       -0.0005
     0.018442       -0.0254        0.0005
    0.0191137       -0.0254       -0.0005
    0.0191137       -0.0254        0.0005
    0.0197907       -0.0254       -0.0005
    0.0197907       -0.0254        0.0005
     0.020473       -0.0254       -0.0005
     0.020473       -0.0254        0.0005
    0.0211606       -0.0254       -0.0005
    0.0211606       -0.0254        0.0005
    0.0218535       -0.0254       -0.0005
    0.0218535       -0.0254        0.0005
    0.0225517       -0.0254       -0.0005
    0.0225517       -0.0254        0.0005
    0.0232555       -0.0254       -0.0005
    0.0232555       -0.0254        0.0005
    0.0239647       -0.0254       -0.0005
    0.0239647       -0.0254        0.0005
    0.0246794       -0.0254       -0.0005
    0.0246794       -0.0254        0.0005
    0.0253996       -0.0254       -0.0005
    0.0253996       -0.0254        0.0005
    0.0261255       -0.0254       -0.0005
    0.0261255       -0.0254        0.0005
     0.026857       -0.0254       -0.0005
     0.026857       -0.0254        0.0005
    0.0275942       -0.0254       -0.0005
    0.0275942       -0.0254        0.0005
    0.0283371       -0.0254       -0.0005
    0.0283371       -0.0254        0.0005
    0.0290858       -0.0254       -0.0005
    0.0290858       -0.0254        0.0005
    0.0298403       -0.0254       -0.0005
    0.0298403       -0.0254        0.0005
    0.0306007       -0.0254       -0.0005
    0.0306007       -0.0254        0.0005
     0.031367       -0.0254       -0.0005
     0.031367       -0.0254        0.0005
    0.0321393       -0.0254       -0.0005
    0.0321393       -0.0254        0.0005
    0.0329175       -0.0254       -0.0005
    0.0329175       -0.0254        0.0005
    0.0337019       -0.0254       -0.0005
    0.0337019       -0.0254        0.0005
    0.0344923       -0.0254       -0.0005
    0.0344923       -0.0254        0.0005
    0.0352888       -0.0254       -0.0005
    0.0352888       -0.0254        0.0005
    0.0360916       -0.0254       -0.0005
    0.0360916       -0.0254        0.0005
    0.0369006       -0.0254       -0.0005
    0.0369006       -0.0254        0.0005
    0.0377158       -0.0254       -0.0005
    0.0377158       -0.0254        0.0005
    0.0385375       -0.0254       -0.0005
    0.0385375       -0.0254        0.0005
    0.0393655       -0.0254       -0.0005
    0.0393655       -0.0254        0.0005
    0.0401999       -0.0254       -0.0005
    0.0401999       -0.0254        0.0005
    0.0410408       -0.0254       -0.0005
